Registro|Orden_Servicio|Cliente|Identificador_Metro|Tipo Servicio Metro|Tipo Plan Metro|Velocidad Metro|Central+Circuito|Central|Nombre_Central|Tipo_Componente|Status_Instalacion|Nombre_Nodo|Tipo_Nodo|Tipo_Tarjeta|Nombre_Tarjeta|Slot|Puerto
200127541|U01ICP27541|C A N T V|||||2301-0115200|2301|EL ROSAL             ( 2301 )|PTO_RDCDE|ACTIVO|ROSAL-DATOS|MUX_N.IVSU_7350|TARJETA DE AGREGADO|G.SHDSL|1-1-5|15|
200135244|U01MDE35244|GRUPO EMPRESARIAL CIPRES, 15|||||2242-0105501|2242|CHAGUARAMOS          ( 2242 )|PTO_RDCDE|ACTIVO|CHAGUARAMOS-DATOS|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1.1.3|17|
200135256|U01IRI35256|C A N T V|||||2223-0115580|2223|LOS PALOS GRANDES    ( 2223 )|PTO_RDCDE|ACTIVO|350 PALOS GRANDES 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|6|1|
200135257|U01IRI35257|C A N T V|||||2312-0115581|2312|CHUAO                ( 2312 )|PTO_RDCDE|ACTIVO|350 CHUAO 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|6|48|
200135258|U01IRI35258|C A N T V|||||2242-0115582|2242|CHAGUARAMOS          ( 2242 )|PTO_RDCDE|ACTIVO|350 CHAGUARAMOS 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|6|48|
200135259|U01IRI35259|C A N T V|||||2319-0115583|2319|LAS MERCEDES         ( 2319 )|PTO_RDCDE|ACTIVO|350 MERCEDES 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|6|48|
200135260|U01IRI35260|C A N T V|||||2213-0115584|2213|BOLEITA              ( 2213 )|PTO_RDCDE|ACTIVO|350 BOLEITA 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|6|48|
200135261|U01IRI35261|C A N T V|||||2304-0115585|2304|CARACAS              ( 2304 )|PTO_RDCDE|ACTIVO|350 CARACAS 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|6|48|
200138457|U01IRI38457|C A N T V|||||2221-0116102|2221|CHACAO               ( 2221 )|PTO_RDCDE|ACTIVO|350CHACAO-1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|7|48|
200138458|U01IRI38458|C A N T V|||||2224-0116103|2224|EL CAFETAL           ( 2224 )|PTO_RDCDE|ACTIVO|350-CAFETAL|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|4|48|
200138461|U01IRI38461|C A N T V|||||3608-0116104|3608|GUATIRE              ( 3608 )|PTO_RDCDE|ACTIVO|350-GUATIRE|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|4|48|
200138462|U01IRI38462|C A N T V|||||5124-0004655|5124|STA. ISABEL INDUST   ( 5124 )|PTO_RDCDE|ACTIVO|350 INDUSTRIA BTO 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|5|48|
200138464|U01IRI38464|C A N T V|||||2316-0116105|2316|LA TRINIDAD          ( 2316 )|PTO_RDCDE|ACTIVO|350-LA TRINIDAD|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|4|48|
200138465|U01IRI38465|C A N T V|||||2217-0116108|2217|LA URBINA            ( 2217 )|PTO_RDCDE|ACTIVO|350URBINA|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|4|48|
200138466|U01IRI38466|C A N T V|||||4354-0007958|4354|LAS DELICIAS MAY.    ( 4354 )|PTO_RDCDE|ACTIVO|350 DELICIAS 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|6|48|
200138468|U01IRI38468|C A N T V|||||3206-0116107|3206|LOS TEQUES           ( 3206 )|PTO_RDCDE|ACTIVO|350 LOS TEQUES 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|6|48|
200139653|U01IRI39653|C A N T V|||||2241-0116197|2241|ROMULO GALLEGOS      ( 2241 )|PTO_RDCDE|ACTIVO|350-R.GALLEGOS|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|A4|48|
200204880|U02CAT04880|NEW AGE TRUST CA|||||8823-0009736|8823|JORGE COLL           ( 8823 )|PTO_RDCDE|ACTIVO|350 JORGE COLL 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|6|1|
200206558|U02IRI06558|C A N T V|||||8166-0009745|8166|LECHERIAS(8166)/PUEBLO DE MESONES(8166M)|PTO_RDCDE|ACTIVO|350 LECHERIAS 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|6|48|
200206891|U02IRI06891|C A N T V|||||8160-0009776|8160|BARCELONA            ( 8160 )|PTO_RDCDE|ACTIVO|350 BOYACA 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|6|48|
200206894|U02IRI06894|C A N T V|||||4354-0008058|4354|LAS DELICIAS MAY.    ( 4354 )|PTO_RDCDE|ACTIVO|350 DELICIAS 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|6|48|
200207928|U02CAT07928|UNIV DE ORIENTE|||||9161-0001341|9161|CIUDAD BOLIVAR       ( 9161 )|PTO_RDCDE|ACTIVO|350 CIUDAD BOLIVAR 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|6|8|
200210664|U02ICP10664|I.U. TECN ALONSO GAMERO|||||5887-0001279|5887|CORO CENTRO          ( 5887 )|PTO_RDCDE|ACTIVO|350 CORO 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|6|1|
200213765|U02IVA13765|MIN SALUD Y DESARROLLO SOCIA|||||9161-0001473|9161|CIUDAD BOLIVAR       ( 9161 )|PTO_RDCDE|ACTIVO|350 CIUDAD BOLIVAR 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|6|3|
200214992|U02ICP14992|C A N T V|||||5887-0001267|5887|CORO CENTRO          ( 5887 )|PTO_RDCDE|ACTIVO|350 CORO 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|6|4|
200215458|U02IRI15458|C A N T V|||||8166-0009972|8166|LECHERIAS(8166)/PUEBLO DE MESONES(8166M)|PTO_RDCDE|ACTIVO|350 LECHERIAS 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|6|48|
200217576|I02ICP17576|IFX NETWORKS VENEZUELA C.A.|||||4741-0000395|4741|VALLE LA PASCUA      ( 4741 )|PTO_RDCDE|ACTIVO|350 VALLE DE LA PASC|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|7|24|
200217994|U02ICP17994|C A N T V|||||2213-0118727|2213|BOLEITA              ( 2213 )|PTO_RDCDE|ACTIVO|350 BOLEITA 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|6|11|
200218823|U02CAT18823|VARGAS C A|||||2316-0105931|2316|LA TRINIDAD          ( 2316 )|PTO_RDCDE|ACTIVO|350-LA TRINIDAD|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|4|5|
200222437|U02ICP22437|UNIV NAC EXP FCO DE MIRANDA|||||5887-0001280|5887|CORO CENTRO          ( 5887 )|PTO_RDCDE|ACTIVO|CORO-CENTRO-DATOS|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1.1.3|8|
200222765|I02CAT22765|ELECENTRO|||||4741-0000381|4741|VALLE LA PASCUA      ( 4741 )|PTO_RDCDE|ACTIVO|350 VALLE DE LA PASC|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|6|13|
200224450|I02ICP24450|C A N T V|||||4941-0000807|4941|SN FERNANDO DE APURE ( 4941 )|PTO_RDCDE|ACTIVO|350 SAN FERNANDO 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|4|3|
200225540|U02ICP25540|COMUNITEL DE VENEZUELA, C.A.|||||2221-0119368|2221|CHACAO               ( 2221 )|PTO_RDCDE|ACTIVO|350CHACAO-1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|7|8|
200227128|U02IRI27128|C A N T V|||||2213-0119370|2213|BOLEITA              ( 2213 )|PTO_RDCDE|ACTIVO|350 BOLEITA 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|6|47|
200227138|U02IRI27138|C A N T V|||||2213-0119371|2213|BOLEITA              ( 2213 )|PTO_RDCDE|ACTIVO|350 BOLEITA 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|6|46|
200227144|U02IRI27144|C A N T V|||||2213-0119373|2213|BOLEITA              ( 2213 )|PTO_RDCDE|ACTIVO|350 BOLEITA 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|6|45|
200227152|U02IRI27152|C A N T V|||||2239-0119376|2239|CENTRO NACIONAL      ( 2239 )|PTO_RDCDE|ACTIVO|350 CNT 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|5|45|
200228261|U02IVA28261|GRUPO EMPRESARIAL CIPRES, 15|||||2242-0119065|2242|CHAGUARAMOS          ( 2242 )|PTO_RDCDE|ACTIVO|350 CHAGUARAMOS 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|6|7|
200228419|U02CAT28419|GRUPO EMPRESARIAL CIPRES, 15|||||2244-0118907|2244|COCHE                ( 2244 )|PTO_RDCDE|ACTIVO|350 COCHE 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|5|1|
200233659|U02ICP33659|C A N T V|||||2322-0120505|2322|LOS CAOBOS           ( 2322 )|PTO_RDCDE|ACTIVO|350-CAOBOS|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|5|1|
200235093|U02ICP35093|INTEGRAL VAL VALENCIA, C.A. (CDC)|||||4126-0013339|4126|ARTURO MICHELENA     ( 4126 )|PTO_RDCDE|ACTIVO|350-MICHELENA|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|5|4|
200235275|I02CAT35275|GOB EDO GUARICO|||||4681-0000431|4681|PUEBLO NUEVO-S.J.M   ( 4681 )|PTO_RDCDE|ACTIVO|350 SAN JUAN 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|5|2|
200237263|U02ICP37263|(CDC) INVERSIONES ROMEGO, C.A.|||||2213-0121505|2213|BOLEITA              ( 2213 )|PTO_RDCDE|ACTIVO|350 BOLEITA 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|6|7|
200237669|U02ICP37669|(CDC) CENTRO INFORMATICO LAI, C.A.|||||2316-0121513|2316|LA TRINIDAD          ( 2316 )|PTO_RDCDE|ACTIVO|350-LA TRINIDAD|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|4|2|
200300707|U03ICP00707|INST AUT BIBLIOTECA NACIONAL|||||2322-0120977|2322|LOS CAOBOS           ( 2322 )|PTO_RDCDE|ACTIVO|350-CAOBOS|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|4|28|
200301768|U03CAT01768|C A N T V|||||2304-0113979|2304|CARACAS              ( 2304 )|PTO_RDCDE|ACTIVO|350 CARACAS 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|6|18|
200303199|U03ICP03199|HIDROCAPITAL CA|||||3307-0121419|3307|GUARENAS-TRAPICHITO-ELECTRO ( 3307 )|PTO_RDCDE|ACTIVO|GUARENAS-DATOS|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1.1.1|17|
200304827|U03ICP04827|(CDC) SERVICIOS INTEGRALES WJA, C.A|||||2242-0121525|2242|CHAGUARAMOS          ( 2242 )|PTO_RDCDE|ACTIVO|350 CHAGUARAMOS 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|5|10|
200304995|U03ICP04995|(CDC) COMUNICACIONES PASEO MIRANDINO, C.A.|||||3206-0121616|3206|LOS TEQUES           ( 3206 )|PTO_RDCDE|ACTIVO|LOS-TEQUES-DATOS|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1.1.1|20|
200305325|U03CAT05325|INSALUD DEL ESTADO CARABOBO|||||4126-0010462|4126|ARTURO MICHELENA     ( 4126 )|PTO_RDCDE|ACTIVO|350-MICHELENA|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|5|5|
200310172|U03ICP10172|C A N T V|||||2301-0122179|2301|EL ROSAL             ( 2301 )|PTO_RDCDE|ACTIVO|350-ROSAL|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|4|10|
200310440|U03ICP10440|COMSA|||||5571-0001187|5571|ACARIGUA II          ( 5571 )|PTO_RDCDE|ACTIVO|350 ACARIGUA 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|6|4|
200310910|U03ICP10910|(CDC) VIGCELL, C.A.|||||4126-0013631|4126|ARTURO MICHELENA     ( 4126 )|PTO_RDCDE|ACTIVO|350 SAN BLAS 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|6|29|
200313006|U03IRI13006|C A N T V|||||2239-0122357|2239|CENTRO NACIONAL      ( 2239 )|PTO_RDCDE|ACTIVO|350 CNT 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|5|6|
200313010|U03IRI13010|C A N T V|||||2239-0122362|2239|CENTRO NACIONAL      ( 2239 )|PTO_RDCDE|ACTIVO|350 CNT 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1|1|
200314022|U03ICP14022|LA ORIENTAL DE SEGUROS C A|||||2221-0122428|2221|CHACAO               ( 2221 )|PTO_RDCDE|ACTIVO|350CHACAO-1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|7|5|
200314811|U03IRI14811|C A N T V|||||2230-0122492|2230|SAN MARTIN           ( 2230 )|PTO_RDCDE|ACTIVO|350 SAN MARTIN|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|5|7|
200315677|U03IRI15677|C A N T V|||||2239-0122594|2239|CENTRO NACIONAL      ( 2239 )|PTO_MULSER|ACTIVO|FICTICIO NODO|DACS2|TARJETA DE DATOS|G.SHDSL|1|1|
200316159|U03CAT16159|HIDROCAPITAL CA|||||2303-0121284|2303|LA SALLE             ( 2303 )|PTO_RDCDE|ACTIVO|350-LA SALLE|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|5|5|
200316189|U03CAT16189|SENECA|||||8823-0009716|8823|JORGE COLL           ( 8823 )|PTO_RDCDE|ACTIVO|350 JORGE COLL 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|6|20|
200316285|U03IRI16285|C A N T V|||||2213-0122654|2213|BOLEITA              ( 2213 )|PTO_RDCDE|ACTIVO|350 BOLEITA 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|6|47|
200316293|U03IRI16293|C A N T V|||||2303-0122656|2303|LA SALLE             ( 2303 )|PTO_RDCDE|ACTIVO|350-LA SALLE|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|5|45|
200316298|U03IRI16298|C A N T V|||||2239-0122657|2239|CENTRO NACIONAL      ( 2239 )|PTO_RDCDE|ACTIVO|350 CNT 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|6|1|
200316300|U03IRI16300|C A N T V|||||2239-0122660|2239|CENTRO NACIONAL      ( 2239 )|PTO_RDCDE|ACTIVO|350 CNT 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|5|2|
200316578|U03ICP16578|ALC MCPIO AUT  PLAZA|||||3307-0122686|3307|GUARENAS-TRAPICHITO-ELECTRO ( 3307 )|PTO_RDCDE|ACTIVO|350 TRAPICHITO 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|6|18|
200316639|U03MDE16639|INST POSTAL TELEGRAFICO|||||5887-0001160|5887|CORO CENTRO          ( 5887 )|PTO_RDCDE|ACTIVO|350 CORO 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|4|1|
200322677|U03IRI22677|C A N T V|||||2239-0123539|2239|CENTRO NACIONAL      ( 2239 )|PTO_RDCDE|ACTIVO|FICTICIO NODO|DACS2|TARJETA DE DATOS|G.SHDSL|1|1|
200325095|U03ICP25095|C A N T V|||||2301-0123699|2301|EL ROSAL             ( 2301 )|PTO_RDCDE|ACTIVO|350-ROSAL|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|4|31|
200327399|U03IRI27399|C A N T V|||||2239-0123800|2239|CENTRO NACIONAL      ( 2239 )|PTO_RDCDE|ACTIVO|350 CNT 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|5|5|
200330864|U03IRI30864|C A N T V|||||3206-0124214|3206|LOS TEQUES           ( 3206 )|PTO_RDCDE|ACTIVO|350 LOS TEQUES 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|6|12|
200332596|U03ICP32596|C A N T V|||||2322-0124657|2322|LOS CAOBOS           ( 2322 )|PTO_RDCDE|ACTIVO|350-CAOBOS|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|5|8|
200403582|U04ICP03582|F.V.I. FONDO DE VALORES INMO|||||2319-0125317|2319|LAS MERCEDES         ( 2319 )|PTO_RDCDE|ACTIVO|350 MERCEDES 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|6|17|
200403682|U04ICP03682|CONSORCIO CREDICARD.C.A.|||||3608-0126153|3608|GUATIRE              ( 3608 )|PTO_RDCDE|ACTIVO|VALLE-ARRIBA-DATOS|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1.1.1|6|
200404733|U04ICP04733|CAPAUPEL-IPRUGER.|||||2307-0125525|2307|RICARDO ZULOAGA      ( 2307 )|PTO_RDCDE|ACTIVO|NUEVA-CARACAS-DATOS|MUX_N.IVSU_7350|TARJETAS E1 CANALIZADO|G.SHDSL|1.1.2|24|
200409459|U04ICP09459|CASA HELLMUND  COMPAA SA|||||2213-2022311|2213|BOLEITA              ( 2213 )|PTO_RDCDE|ACTIVO|350 BOLEITA 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|6|44|
200409724|U04IXM09724|ACEITES Y SOLVEN VENEZOLANOS|||||2221-0123635|2221|CHACAO               ( 2221 )|PTO_RDCDE|ACTIVO|CHACAO-DATOS-III|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|3|14|
200409938|U04IXM09938|BANCO DE VENEZUELA S.A. BU|||||4353-0007313|4353|LA BARRACA MARACAY   ( 4353 )|PTO_RDCDE|ACTIVO|7350 ALTAVISTA-1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|6|24|
200410455|U04ADA10455|RESCARVEN|||||2319-9095011|2319|LAS MERCEDES         ( 2319 )|PTO_RDCDE|CORTADO|350 MERCEDES 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|6|42|
200411350|U04ICP11350|DESARR. CIUDAD VIRTUAL VZLA|||||2301-0126325|2301|EL ROSAL             ( 2301 )|PTO_RDCDE|ACTIVO|350-ROSAL|MUX_N.IVSU_7350|TARJETA DE AGREGADO|G.SHDSL|4|47|
200413671|U04MDE13671|CAPAUPEL-IPRUGER.|||||2307-0119895|2307|RICARDO ZULOAGA      ( 2307 )|PTO_RDCDE|ACTIVO|NUEVA-CARACAS-DATOS|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1.1.2|23|
200415153|U04CAT15153|C A N T V|||||2230-0120323|2230|SAN MARTIN           ( 2230 )|PTO_RDCDE|ACTIVO|350 SAN MARTIN|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|5|11|
